DBName                                                                                                                           type                                                                                                                                                                                                                                                             type_desc                                                                                                                                                                                                                                                        cnt
KnowledgePlus_Portlet                                                                                                            TF                                                                                                                                                                                                                                                               SQL 테이블 반환 함수                                                                                                                                                                                                                                                    1
KnowledgePlus_Portlet                                                                                                            TR                                                                                                                                                                                                                                                               SQL DML 트리거                                                                                                                                                                                                                                                      1
KnowledgePlus_Portlet                                                                                                            U                                                                                                                                                                                                                                                                테이블(사용자 정의)                                                                                                                                                                                                                                                      18
KnowledgePlus_Portlet                                                                                                            UQ                                                                                                                                                                                                                                                               UNIQUE 제약 조건                                                                                                                                                                                                                                                     1
KnowledgePlus_Portlet                                                                                                            V                                                                                                                                                                                                                                                                뷰                                                                                                                                                                                                                                                                1
KnowledgePlus_Sys                                                                                                                AF                                                                                                                                                                                                                                                               집계 함수(CLR)                                                                                                                                                                                                                                                       1
KnowledgePlus_Sys                                                                                                                C                                                                                                                                                                                                                                                                CHECK 제약 조건                                                                                                                                                                                                                                                      1
KnowledgePlus_Sys                                                                                                                D                                                                                                                                                                                                                                                                DEFAULT(제약 조건 또는 독립 실행형)                                                                                                                                                                                                                                         457
KnowledgePlus_Sys                                                                                                                EC                                                                                                                                                                                                                                                               Edge 제약 조건                                                                                                                                                                                                                                                       1
KnowledgePlus_Sys                                                                                                                F                                                                                                                                                                                                                                                                FOREIGN KEY 제약 조건                                                                                                                                                                                                                                                1
KnowledgePlus_Sys                                                                                                                FN                                                                                                                                                                                                                                                               SQL 스칼라 함수                                                                                                                                                                                                                                                       3
KnowledgePlus_Sys                                                                                                                FS                                                                                                                                                                                                                                                               어셈블리(CLR) 스칼라 함수                                                                                                                                                                                                                                                 1
KnowledgePlus_Sys                                                                                                                FT                                                                                                                                                                                                                                                               어셈블리(CLR) 테이블 반환 함수                                                                                                                                                                                                                                              1
KnowledgePlus_Sys                                                                                                                IF                                                                                                                                                                                                                                                               SQL 인라인 테이블 반환 함수                                                                                                                                                                                                                                                1
KnowledgePlus_Sys                                                                                                                IT                                                                                                                                                                                                                                                               내부 테이블                                                                                                                                                                                                                                                           5
KnowledgePlus_Sys                                                                                                                P                                                                                                                                                                                                                                                                SQL 저장 프로시저                                                                                                                                                                                                                                                      5
KnowledgePlus_Sys                                                                                                                PC                                                                                                                                                                                                                                                               어셈블리(CLR) 저장 프로시저                                                                                                                                                                                                                                                1
KnowledgePlus_Sys                                                                                                                PG                                                                                                                                                                                                                                                               계획 지침                                                                                                                                                                                                                                                            1
KnowledgePlus_Sys                                                                                                                PK                                                                                                                                                                                                                                                               PRIMARY KEY 제약 조건                                                                                                                                                                                                                                                105
KnowledgePlus_Sys                                                                                                                R                                                                                                                                                                                                                                                                규칙 (이전 스타일의 독립 실행형)                                                                                                                                                                                                                                              1
KnowledgePlus_Sys                                                                                                                RF                                                                                                                                                                                                                                                               복제 필터 프로시저                                                                                                                                                                                                                                                       1
KnowledgePlus_Sys                                                                                                                S                                                                                                                                                                                                                                                                시스템 기본 테이블                                                                                                                                                                                                                                                       45
KnowledgePlus_Sys                                                                                                                SN                                                                                                                                                                                                                                                               동의어                                                                                                                                                                                                                                                              1
KnowledgePlus_Sys                                                                                                                SO                                                                                                                                                                                                                                                               시퀀스 개체                                                                                                                                                                                                                                                           1
KnowledgePlus_Sys                                                                                                                SQ                                                                                                                                                                                                                                                               서비스 큐                                                                                                                                                                                                                                                            3
KnowledgePlus_Sys                                                                                                                TF                                                                                                                                                                                                                                                               SQL 테이블 반환 함수                                                                                                                                                                                                                                                    1
KnowledgePlus_Sys                                                                                                                TR                                                                                                                                                                                                                                                               SQL DML 트리거                                                                                                                                                                                                                                                      1
KnowledgePlus_Sys                                                                                                                U                                                                                                                                                                                                                                                                테이블(사용자 정의)                                                                                                                                                                                                                                                      124
